qoi,model,mapCR,value,shift,Tmin,Tmax
Ur,AWSoM,GONG2208,77.73951537038967,54,0.2,0.8
Ur,AWSoM,ADAPT2208,76.8989876194942,12,0.2,0.8
Ur,AWSoM,GONG2209,92.04661731732725,15,0.2,0.8
Ur,AWSoM,ADAPT2209,79.03491875329796,9,0.2,0.8
Ur,AWSoM,GONG2152,56.84136386317746,-24,0.2,0.8
Ur,AWSoM,ADAPT2152,71.80130724029908,27,0.2,0.8
Ur,AWSoM,GONG2154,47.06353683539592,63,0.2,0.8
Ur,AWSoM,ADAPT2154,163.08545931158113,-11,0.2,0.8
Ur,AWSoMR,GONG2208,66.71487655226724,22,0.2,0.8
Ur,AWSoMR,ADAPT2208,83.7657446934635,-63,0.2,0.8
Ur,AWSoMR,GONG2209,97.15508091707515,7,0.2,0.8
Ur,AWSoMR,ADAPT2209,91.48452429643592,72,0.2,0.8
Ur,AWSoMR,GONG2152,76.58350393720447,-18,0.2,0.8
Ur,AWSoMR,ADAPT2152,124.7129230599393,13,0.2,0.8
Ur,AWSoMR,GONG2154,40.854320162817245,59,0.2,0.8
Ur,AWSoMR,ADAPT2154,144.54553769044102,-72,0.2,0.8
Np,AWSoM,GONG2208,4.592662724352902,54,0.2,0.8
Np,AWSoM,ADAPT2208,4.55605445400902,12,0.2,0.8
Np,AWSoM,GONG2209,5.784702089975886,15,0.2,0.8
Np,AWSoM,ADAPT2209,5.108446209252062,9,0.2,0.8
Np,AWSoM,GONG2152,9.71822402911556,-24,0.2,0.8
Np,AWSoM,ADAPT2152,5.564540221148466,27,0.2,0.8
Np,AWSoM,GONG2154,8.39241951061817,63,0.2,0.8
Np,AWSoM,ADAPT2154,10.264531447911272,-11,0.2,0.8
Np,AWSoMR,GONG2208,4.883728058409724,22,0.2,0.8
Np,AWSoMR,ADAPT2208,8.089370340589252,-63,0.2,0.8
Np,AWSoMR,GONG2209,5.983715546453879,7,0.2,0.8
Np,AWSoMR,ADAPT2209,5.869718093431184,72,0.2,0.8
Np,AWSoMR,GONG2152,17.671324457330496,-18,0.2,0.8
Np,AWSoMR,ADAPT2152,5.419728931363612,13,0.2,0.8
Np,AWSoMR,GONG2154,7.641850405814751,59,0.2,0.8
Np,AWSoMR,ADAPT2154,6.756113784090476,-72,0.2,0.8
T,AWSoM,GONG2208,76645.19515650424,54,0.2,0.8
T,AWSoM,ADAPT2208,68385.25423279442,12,0.2,0.8
T,AWSoM,GONG2209,69348.08649449336,15,0.2,0.8
T,AWSoM,ADAPT2209,55861.95581386924,9,0.2,0.8
T,AWSoM,GONG2152,24906.230784644413,-24,0.2,0.8
T,AWSoM,ADAPT2152,35578.37771320674,27,0.2,0.8
T,AWSoM,GONG2154,46328.618236153,63,0.2,0.8
T,AWSoM,ADAPT2154,91918.098592801,-11,0.2,0.8
T,AWSoMR,GONG2208,74755.08445243222,22,0.2,0.8
T,AWSoMR,ADAPT2208,77652.42782378956,-63,0.2,0.8
T,AWSoMR,GONG2209,50671.95772148182,7,0.2,0.8
T,AWSoMR,ADAPT2209,76871.14003462343,72,0.2,0.8
T,AWSoMR,GONG2152,30915.053326470126,-18,0.2,0.8
T,AWSoMR,ADAPT2152,42197.07400160317,13,0.2,0.8
T,AWSoMR,GONG2154,46523.641907556725,59,0.2,0.8
T,AWSoMR,ADAPT2154,80165.02824030719,-72,0.2,0.8
B,AWSoM,GONG2208,2.3156082053088807,54,0.2,0.8
B,AWSoM,ADAPT2208,2.1920569571095068,12,0.2,0.8
B,AWSoM,GONG2209,2.244263196443045,15,0.2,0.8
B,AWSoM,ADAPT2209,2.106132426642303,9,0.2,0.8
B,AWSoM,GONG2152,2.9524364288289986,-24,0.2,0.8
B,AWSoM,ADAPT2152,3.3460479073715894,27,0.2,0.8
B,AWSoM,GONG2154,3.5132729314480766,63,0.2,0.8
B,AWSoM,ADAPT2154,4.551638195090232,-11,0.2,0.8
B,AWSoMR,GONG2208,2.030817496320516,22,0.2,0.8
B,AWSoMR,ADAPT2208,2.5632540658392875,-63,0.2,0.8
B,AWSoMR,GONG2209,2.1375840306899447,7,0.2,0.8
B,AWSoMR,ADAPT2209,2.492310662836619,72,0.2,0.8
B,AWSoMR,GONG2152,2.684441253802436,-18,0.2,0.8
B,AWSoMR,ADAPT2152,4.156869561263837,13,0.2,0.8
B,AWSoMR,GONG2154,3.8321774445678383,59,0.2,0.8
B,AWSoMR,ADAPT2154,4.893949606381996,-72,0.2,0.8
